Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30/17    0.000    0.000    0.258    0.015 {built-in method builtins.__import__}
       94    0.000    0.000    0.083    0.001 <frozen importlib._bootstrap_external>:1341(find_spec)
      407    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\inspect.py:2768(Signature)
      107    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.054    0.054 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\zipfile.py:1(<module>)
       26    0.000    0.000    0.036    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2779(__init__)
    23/10    0.000    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3547(parseImpl)
      154    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:385(cached)
      538    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
       91    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:44(_is_private)
       37    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      168    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:646(__new__)
        1    0.000    0.000    0.022    0.022 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\inspect.py:1(<module>)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      154    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       76    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      144    0.000    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:96(closegroup)
      120    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2368(__init__)
     22/3    0.000    0.000    0.005    0.002 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3397(parseImpl)
       76    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:224(__init__)
       74    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
       52    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2826(__str__)
       83    0.000    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1821(__add__)
      208    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\socket.py:83(<lambda>)
        1    0.000    0.000    0.028    0.028 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:5399(pyparsing_common)
      194    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:65(_combine_flags)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       37    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\ntpath.py:180(split)
        7    0.000    0.000    0.007    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:451(_create_)
       74    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
      104    0.000    0.000    0.005    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\traceback.py:285(line)
       27    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\ntpath.py:77(join)
      468    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
        1    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\opcode.py:36(<listcomp>)
      100    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       76    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.005    0.005 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\packaging\markers.py:4(<module>)
      538    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       11    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
       24    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       48    0.000    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3540(__init__)
        1    0.000    0.000    0.008    0.008 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\typing.py:1(<module>)
        1    0.000    0.000    0.113    0.113 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\packaging\requirements.py:4(<module>)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       25    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:547(_get_mixins_)
      585    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       26    0.000    0.000    0.011    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1047(extract_stack)
    77/62    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3434(__str__)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
       32    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\functools.py:35(update_wrapper)
        1    0.000    0.000    0.008    0.008 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:1(<module>)
    87/79    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3576(__str__)
       23    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\ntpath.py:450(normpath)
      835    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      130    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       21    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2707(parseImpl)
       12    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\packaging\version.py:378(_cmpkey)
      230    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.021    0.021 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\shutil.py:1(<module>)
       12    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\packaging\version.py:152(_legacy_cmpkey)
        1    0.000    0.000    0.100    0.100 c:\Users\KJ\Documents\SPRING2021\CEN4090L\Pacman_v5\Game.py:77(load_ghosts)
       26    0.000    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\linecache.py:52(checkcache)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        4    0.000    0.000    0.001    0.000 c:\Users\KJ\Documents\SPRING2021\CEN4090L\Pacman_v5\pacman.py:112(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\datetime.py:1(<module>)
       54    0.000    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\abc.py:84(__new__)
        1    0.000    0.000    0.011    0.011 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\socket.py:4(<module>)
      371    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
    25/16    0.000    0.000    0.069    0.004 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      291    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\typing.py:648(_is_dunder)
       89    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.009    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:504(_convert_)
       57    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:492(_get_charset_prefix)
       48    0.000    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1948(__or__)
        1    0.000    0.000    0.003    0.003 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\locale.py:1(<module>)
      266    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3270(<genexpr>)
       11    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1259(_path_hooks)
       18    0.000    0.000    0.016    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\__init__.py:2047(find_on_path)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      170    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3439(<genexpr>)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
      511    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      528    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      865    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
      339    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
       30    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       91    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:33(_is_sunder)
       83    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\six.py:141(__init__)
       76    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:76(__init__)
