Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     76/1    0.001    0.000    0.646    0.646 {built-in method builtins.exec}
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
       74    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
       74    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
       74    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
     74/2    0.001    0.000    0.498    0.249 <frozen importlib._bootstrap_external>:784(exec_module)
       74    0.003    0.000    0.111    0.002 <frozen importlib._bootstrap_external>:856(get_code)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
       74    0.001    0.000    0.068    0.001 <frozen importlib._bootstrap_external>:976(get_data)
       74    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
       74    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
       74    0.054    0.001    0.054    0.001 {built-in method io.open_code}
       74    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       74    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
       69    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\abc.py:7(abstractmethod)
       69    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2412(__init__)
       68    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:12(_is_descriptor)
       65    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1366(postParse)
       63    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       61    0.000    0.000    0.007    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3292(<listcomp>)
    61/11    0.001    0.000    0.010    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3288(leaveWhitespace)
       60    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:267(getuntil)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       57    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:492(_get_charset_prefix)
       54    0.000    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\abc.py:84(__new__)
    54/10    0.000    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3762(streamline)
       54    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       53    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       52    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\ntpath.py:34(_get_bothseps)
       52    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2826(__str__)
       51    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\six.py:177(_add_module)
       48    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\packaging\version.py:135(_parse_version_parts)
       48    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\packaging\version.py:226(<genexpr>)
       48    0.000    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1948(__or__)
       48    0.000    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3540(__init__)
       47    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\typing.py:660(__init__)
       46    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       45    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1190(setName)
       44    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:413(<listcomp>)
       44    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:411(_mk_bitmap)
       44    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\six.py:105(__init__)
       44    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       41    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:527(<lambda>)
